q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0.29531,0,0.217576,-1228,10.15
0.29531,0,0.131316,-1212,9.973
0.29531,0,0.210069,-1228,9.934
0.29531,0,0.130155,-1195,9.986
0.29531,0,0.171442,-1228,10.086
0.29531,0,0.213941,-1195,10.011
0.29531,0,0.140985,-1244,10.223
0.294412,0,0.22424,-1276,9.695
0.294412,0,0.137971,-1228,10.239
0.294412,0,0.175839,-1260,9.787
0.294412,0,0.214395,-1195,9.976
0.294412,0,0.137279,-1228,10.286
0.294412,0,0.213941,-1212,9.735
0.294412,0,0.131062,-1228,9.935
0.294412,0,0.173306,-1228,10.083
0.293515,0,0.188296,-1228,9.941
0.292617,0,0.121697,-1228,9.928
0.290822,0,0.20192,-1212,10
0.289924,0,0.0947273,-1195,10.095
0.288129,0,0.15425,-1228,9.91
0.285436,-0.897599,0.129143,-1163,10.13
0.282744,0,0.119045,-1195,10.142
0.278256,-0.897599,0.0980127,-1195,9.781
0.27287,0,0.108096,-1002,10.116
0.260304,-0.897599,0.168847,-1131,10.015
0.260304,-0.897599,0.14265,-1002,10.016
0.253123,-0.897599,0.0755566,-1099,10.126
0.245044,-0.897599,0.175352,-857,9.667
0.237864,-0.897599,0.0576358,-825,9.967
0.229785,-0.897599,0.136074,-760,10.034
0.221707,-0.897599,0.122845,-712,10.227
0.211833,-0.897599,0.0703431,-648,9.775
0.193881,-0.897599,0.128054,-583,11.041
0.184905,-0.897599,0.0448712,-470,9.163
0.18311,-0.897599,0.0569591,-422,10.13
0.166056,-0.897599,0.0644836,-148,9.864
0.15708,-0.897599,0.0244829,-51,9.894
0.149001,0,0.0830467,-116,9.995
0.142718,-0.897599,-0.0400391,29,10.006
0.137333,0,6.50737e-06,61,9.871
0.132845,0,0.0300485,29,10.255
0.132845,-0.897599,-0.0248229,126,9.784
0.124766,-0.897599,-0.00504676,78,9.95
0.119381,0,-0.0317457,94,10.11
0.113097,-0.897599,0.00556525,158,10.224
0.105917,0,-0.026313,190,9.838
0.105019,-0.897599,-0.0679681,158,9.925
0.0879647,-0.897599,0.0145994,239,10.123
0.0870671,-0.897599,-0.0904445,190,9.915
0.0771935,-0.897599,-0.0341573,223,9.97
0.0691151,-0.897599,-0.0734789,432,10.036
0.0529583,-0.897599,-0.09036,432,9.829
0.0529583,-0.897599,-0.00695448,529,10.143
0.0448799,-0.897599,-0.11089,577,9.838
0.0385968,0,-0.0256082,642,10.277
0.0341088,0,-0.0392018,609,9.853
0.0305184,-0.897599,-0.106214,674,10.047
0.0278256,0,-0.034051,609,9.931
0.0242352,0,-0.152514,625,10.261
0.0215424,0,-0.0848303,754,9.838
0.0188496,-0.897599,-0.126782,625,10.078
0.013464,-0.897599,-0.13401,642,9.919
0,-0.897599,-0.0457962,561,9.986
-0.000897599,-0.897599,-0.165212,674,9.961
-0.00987359,-0.897599,-0.0724878,690,9.99
-0.026928,-0.897599,-0.0803515,851,10.057
-0.0278256,-0.897599,-0.104321,803,10.078
-0.0350064,-0.897599,-0.0642202,883,10.519
-0.0448799,0,-0.181142,1012,9.617
-0.0448799,0,-0.125062,980,9.625
-0.0475727,0,-0.0900868,1044,10.07
-0.0502655,0,-0.148721,980,12.916
-0.0511631,0,-0.0811909,932,7.25
-0.0529583,-0.897599,-0.191118,948,9.89
-0.0574463,-0.897599,-0.154332,899,10.016
-0.0628319,-0.897599,-0.157419,915,10.02
-0.0771935,-0.897599,-0.163047,980,10.073
-0.0780911,0,-0.0981326,996,9.861
-0.0852719,0,-0.210479,1012,10.11
-0.0960431,0,-0.111885,1141,9.976
-0.0960431,-0.897599,-0.156381,1028,10.184
-0.104121,-0.897599,-0.1906,1060,9.76
-0.104121,-0.897599,-0.117,1077,9.931
-0.106814,-0.897599,-0.227502,1222,10.094
-0.109507,-0.897599,-0.160059,1222,10.249
-0.111302,0,-0.197348,1238,9.665
-0.113995,-0.897599,-0.208751,1222,10.103
-0.116688,0,-0.194251,1205,9.878
-0.121176,-0.897599,-0.223204,1028,10.044
-0.126561,-0.897599,-0.123687,1125,9.971
-0.139128,-0.897599,-0.209291,1012,10.354
-0.144513,0,-0.118265,1125,9.698
-0.149001,0,-0.110174,1173,10.26
-0.149001,0,-0.228513,1286,9.786
-0.151694,-0.897599,-0.136331,1205,9.924
-0.154387,0,-0.165606,1254,10.013
-0.156182,0,-0.191919,1189,10.084
-0.15708,0,-0.117402,1318,10.012
-0.15708,0,-0.222163,1189,10.189
-0.15708,0,-0.144923,1189,9.734
-0.15708,0,-0.131462,1157,10.581
-0.15708,0,-0.186928,1189,9.6
-0.15708,0,-0.110285,1125,9.795
-0.157977,0,-0.207362,1093,10.069
-0.157977,0,-0.139731,1093,9.989
-0.158875,0,-0.125132,1060,9.843
-0.159773,0,-0.182219,1028,10.078
-0.163363,0,-0.0881273,1028,10.202
-0.163363,0,-0.203061,1028,9.935
-0.163363,0,-0.124821,964,9.948
-0.164261,0,-0.126795,1060,10.156
-0.164261,0,-0.16378,1028,9.811
-0.164261,0,-0.0671135,996,10.209
-0.164261,0,-0.173925,996,9.781
-0.164261,0,-0.10153,996,10.02
-0.164261,0,-0.11741,996,10.074
-0.164261,0,-0.129231,996,9.922
-0.164261,0,-0.0383522,932,9.978
-0.164261,0,-0.153037,932,10.024
-0.164261,0,-0.0749122,932,10.056
-0.164261,0,-0.0616375,932,9.953
-0.164261,0,-0.121868,932,9.936
-0.164261,0,-0.0331232,899,10.055
-0.164261,0,-0.142076,948,10.005
-0.164261,0,-0.0658827,932,10.134
-0.164261,0,-0.0531856,932,9.899
-0.164261,0,-0.104488,899,10.092
-0.163363,0,-0.008654,883,9.895
-0.163363,0,-0.128651,932,10.074
-0.162465,0,-0.0558761,899,9.916
-0.162465,0,-0.0825053,932,10.039
-0.161568,0,-0.090868,899,10.122
-0.161568,0,-0.0206145,915,9.817
-0.161568,0,-0.126599,899,10.122
-0.161568,0,-0.0333869,883,9.989
-0.161568,0,-0.0513214,851,10.136
-0.16067,0,-0.0824767,899,9.785
-0.15708,0.897599,-0.0159826,883,10.521
-0.15708,0,-0.131292,883,9.704
-0.155285,0,-0.0386932,867,9.682
-0.153489,0,-0.0677989,803,10.124
-0.152592,0,-0.0908654,867,10.073
-0.152592,0,-0.00570209,835,9.984
-0.152592,0,-0.110601,851,9.928
-0.152592,0,-0.0106656,803,10.052
-0.151694,0,-0.0277925,803,9.83
-0.151694,0,-0.0785993,803,10.158
-0.149899,0,0.00141487,770,9.853
